Data from Reflection__18__09-30-49-916.txt Node

Date: Fri Mar 07 09:30:49 COT 2025
User: Unisinu
Spectrometer: SR401173
Trigger mode: 0
Integration Time (sec): 1,000000E-1
Scans to average: 5
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 4
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
344,63	223,87
344,852	239,93
345,073	81,58
345,295	109,95
345,516	87,89
345,738	72,41
345,959	115,55
346,18	964,1
346,402	605,61
346,623	551,44
346,844	239,93
347,066	1092,31
347,287	342,74
347,508	130,66
347,73	38,67
347,951	9,07
348,172	14,3
348,394	16,56
348,615	12,57
348,836	14,8
349,057	13,55
349,278	9,5
349,5	7,19
349,721	9,17
349,942	14,35
350,163	13,67
350,384	16,47
350,605	17,64
350,827	17,88
351,048	19,52
351,269	15,8
351,49	13,88
351,711	13,49
351,932	11,08
352,153	11,97
352,374	11,34
352,595	9,29
352,816	7,45
353,037	5,05
353,258	9
353,479	10,07
353,7	7,41
353,92	6,87
354,141	3,22
354,362	1,66
354,583	-2,48
354,804	-2,7
355,025	-3,61
355,246	-3,41
355,466	-2,45
355,687	2,7
355,908	2,77
356,129	7,92
356,35	8,87
356,57	13,03
356,791	16,7
357,012	14,9
357,232	15,62
357,453	12,41
357,674	11,24
357,894	10,26
358,115	9,16
358,336	9,61
358,556	8,47
358,777	6,53
358,997	10,14
359,218	9,12
359,439	13,34
359,659	14,81
359,88	15,12
360,1	12,89
360,321	12,53
360,541	13,49
360,762	11,3
360,982	9,07
361,203	6,83
361,423	4,44
361,643	3,67
361,864	5,42
362,084	6,42
362,304	6,76
362,525	6,5
362,745	7,56
362,966	9,08
363,186	10,64
363,406	9,35
363,626	9,4
363,847	7,85
364,067	8,72
364,287	8,11
364,507	6,25
364,728	7,38
364,948	6,69
365,168	6,8
365,388	8,8
365,608	7,1
365,828	8,78
366,049	8,97
366,269	8,93
366,489	10,68
366,709	9,78
366,929	9,38
367,149	9,35
367,369	9,48
367,589	10,49
367,809	9,47
368,029	8,02
368,249	7,49
368,469	7,22
368,689	6,11
368,909	6,14
369,129	3,21
369,349	1,65
369,569	1,77
369,789	2,05
370,009	2,39
370,228	2,39
370,448	1,52
370,668	2,61
370,888	2,5
371,108	4,9
371,327	5,8
371,547	5,59
371,767	4,87
371,987	5,02
372,206	4,59
372,426	5,54
372,646	3,47
372,866	2,83
373,085	1,62
373,305	1,35
373,525	1,71
373,744	2,22
373,964	1,67
374,183	3,39
374,403	4,19
374,623	4,93
374,842	5,68
375,062	7,03
375,281	6,49
375,501	5,99
375,72	5,57
375,94	5,27
376,159	5,02
376,379	3,92
376,598	4,23
376,818	4,1
377,037	2,8
377,256	2,85
377,476	2,95
377,695	3,06
377,914	2,9
378,134	1,94
378,353	2,38
378,572	2,04
378,792	2,64
379,011	3,24
379,23	3,89
379,45	3,57
379,669	4,06
379,888	4,65
380,107	4,97
380,327	4,9
380,546	5,32
380,765	4,15
380,984	4,04
381,203	3,02
381,422	3
381,641	1,93
381,861	2,37
382,08	2,91
382,299	3,16
382,518	3,08
382,737	2,09
382,956	1,66
383,175	1,53
383,394	1,97
383,613	2,09
383,832	1,92
384,051	1,55
384,27	0,92
384,489	0,85
384,708	1,27
384,927	1,74
385,145	1,86
385,364	1,22
385,583	1,21
385,802	1,08
386,021	1,26
386,24	1,65
386,458	1,74
386,677	1,92
386,896	1,64
387,115	1,54
387,334	1,78
387,552	2,15
387,771	2,39
387,99	2,22
388,208	2,26
388,427	2,14
388,646	2,19
388,864	2,27
389,083	2,3
389,302	2,57
389,52	2,37
389,739	2,03
389,957	2,04
390,176	1,58
390,394	1,58
390,613	1,23
390,832	1,24
391,05	1,19
391,269	1,14
391,487	0,75
391,705	1,06
391,924	1,35
392,142	1,8
392,361	1,77
392,579	2,24
392,798	2,27
393,016	2,28
393,234	1,99
393,453	2,24
